x,y,MAX_REL_HUMIDITY,LOCAL_DATE,STATION_NAME,SPEED_MAX_GUST,MEAN_TEMPERATURE,CLIMATE_IDENTIFIER,PROVINCE_CODE
-130.22805555555556,67.17916666666666,,1994-10-13 00:00:00,LITTLE CHICAGO,0,-0.2,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1994-10-16 00:00:00,LITTLE CHICAGO,0,0.2,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1994-10-20 00:00:00,LITTLE CHICAGO,0,-5.5,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1994-10-25 00:00:00,LITTLE CHICAGO,0,-8.7,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1994-10-28 00:00:00,LITTLE CHICAGO,0,-8.4,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1994-10-29 00:00:00,LITTLE CHICAGO,0,-5.6,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1994-10-31 00:00:00,LITTLE CHICAGO,0,-15.2,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1994-11-01 00:00:00,LITTLE CHICAGO,0,-16.6,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1994-11-02 00:00:00,LITTLE CHICAGO,0,-15.6,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1994-11-03 00:00:00,LITTLE CHICAGO,0,-11.6,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1994-11-05 00:00:00,LITTLE CHICAGO,0,-20.5,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1994-11-06 00:00:00,LITTLE CHICAGO,0,-28.5,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1994-11-07 00:00:00,LITTLE CHICAGO,0,-24.1,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1994-11-08 00:00:00,LITTLE CHICAGO,0,-17.7,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1994-11-09 00:00:00,LITTLE CHICAGO,0,-18.2,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1994-11-12 00:00:00,LITTLE CHICAGO,0,-13,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1994-11-18 00:00:00,LITTLE CHICAGO,0,-14.1,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1994-11-19 00:00:00,LITTLE CHICAGO,0,-25.3,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1994-11-20 00:00:00,LITTLE CHICAGO,0,-33.7,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1994-11-21 00:00:00,LITTLE CHICAGO,0,-31.6,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1994-11-22 00:00:00,LITTLE CHICAGO,0,-27.8,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1994-11-26 00:00:00,LITTLE CHICAGO,0,-31.2,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1994-11-27 00:00:00,LITTLE CHICAGO,0,-31.7,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1994-11-28 00:00:00,LITTLE CHICAGO,0,-25.1,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1994-11-29 00:00:00,LITTLE CHICAGO,0,-25.4,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1994-12-02 00:00:00,LITTLE CHICAGO,0,-31.9,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1994-12-03 00:00:00,LITTLE CHICAGO,0,-19.4,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1994-12-04 00:00:00,LITTLE CHICAGO,0,-18.1,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1994-12-05 00:00:00,LITTLE CHICAGO,0,-23.9,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1994-12-06 00:00:00,LITTLE CHICAGO,0,-30.9,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1994-12-10 00:00:00,LITTLE CHICAGO,0,-34,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1994-12-12 00:00:00,LITTLE CHICAGO,0,-30.9,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1994-12-13 00:00:00,LITTLE CHICAGO,0,-24.8,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1994-12-14 00:00:00,LITTLE CHICAGO,0,-23.8,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1994-12-15 00:00:00,LITTLE CHICAGO,0,-28.8,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1994-12-17 00:00:00,LITTLE CHICAGO,0,-28.3,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1994-12-18 00:00:00,LITTLE CHICAGO,0,-23.7,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1994-12-19 00:00:00,LITTLE CHICAGO,0,-21.5,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1994-12-20 00:00:00,LITTLE CHICAGO,0,-23.6,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1994-12-21 00:00:00,LITTLE CHICAGO,0,-25.2,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1994-12-22 00:00:00,LITTLE CHICAGO,0,-25.3,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1994-12-23 00:00:00,LITTLE CHICAGO,0,-25.7,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1994-12-24 00:00:00,LITTLE CHICAGO,0,-27.6,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1994-12-25 00:00:00,LITTLE CHICAGO,0,-32.5,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1994-12-26 00:00:00,LITTLE CHICAGO,0,-37.3,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1994-12-27 00:00:00,LITTLE CHICAGO,0,-30.2,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1994-12-28 00:00:00,LITTLE CHICAGO,0,-27.4,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1994-12-29 00:00:00,LITTLE CHICAGO,0,-23.3,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1994-12-30 00:00:00,LITTLE CHICAGO,0,-16.4,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1994-12-31 00:00:00,LITTLE CHICAGO,0,-18.2,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-01-01 00:00:00,LITTLE CHICAGO,0,-23.7,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-01-02 00:00:00,LITTLE CHICAGO,0,-21.5,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-01-03 00:00:00,LITTLE CHICAGO,0,,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-01-04 00:00:00,LITTLE CHICAGO,0,,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-01-05 00:00:00,LITTLE CHICAGO,0,-19.7,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-01-06 00:00:00,LITTLE CHICAGO,0,-31,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-01-07 00:00:00,LITTLE CHICAGO,0,-35.7,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-01-08 00:00:00,LITTLE CHICAGO,0,-39.4,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-01-09 00:00:00,LITTLE CHICAGO,0,,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-01-10 00:00:00,LITTLE CHICAGO,0,-37.6,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-01-11 00:00:00,LITTLE CHICAGO,0,,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-01-12 00:00:00,LITTLE CHICAGO,0,-33.1,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-01-13 00:00:00,LITTLE CHICAGO,0,-34.5,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-01-17 00:00:00,LITTLE CHICAGO,0,-24.7,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-01-14 00:00:00,LITTLE CHICAGO,0,-30.3,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-01-15 00:00:00,LITTLE CHICAGO,0,-23.9,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-01-16 00:00:00,LITTLE CHICAGO,0,-21,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-01-18 00:00:00,LITTLE CHICAGO,0,-20.3,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-01-19 00:00:00,LITTLE CHICAGO,0,-15.7,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-01-20 00:00:00,LITTLE CHICAGO,0,-17.8,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-01-21 00:00:00,LITTLE CHICAGO,0,-17.4,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-01-22 00:00:00,LITTLE CHICAGO,0,-18.9,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-01-23 00:00:00,LITTLE CHICAGO,0,-16.4,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-01-24 00:00:00,LITTLE CHICAGO,0,-19.2,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-01-25 00:00:00,LITTLE CHICAGO,0,-18.4,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-01-26 00:00:00,LITTLE CHICAGO,0,-25.3,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-01-27 00:00:00,LITTLE CHICAGO,0,-30.2,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-01-28 00:00:00,LITTLE CHICAGO,0,-26.4,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-01-29 00:00:00,LITTLE CHICAGO,0,-23.4,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-01-30 00:00:00,LITTLE CHICAGO,0,-24.4,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-01-31 00:00:00,LITTLE CHICAGO,0,,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-02-01 00:00:00,LITTLE CHICAGO,0,,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-02-02 00:00:00,LITTLE CHICAGO,0,,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-02-03 00:00:00,LITTLE CHICAGO,0,-26,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-02-04 00:00:00,LITTLE CHICAGO,0,-22.7,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-02-05 00:00:00,LITTLE CHICAGO,0,-17.5,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-02-06 00:00:00,LITTLE CHICAGO,0,-11,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-02-07 00:00:00,LITTLE CHICAGO,0,-13.7,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-02-08 00:00:00,LITTLE CHICAGO,0,,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-02-09 00:00:00,LITTLE CHICAGO,0,-31.6,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-02-10 00:00:00,LITTLE CHICAGO,0,,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-02-11 00:00:00,LITTLE CHICAGO,0,-33.6,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-02-12 00:00:00,LITTLE CHICAGO,0,-26.4,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-02-13 00:00:00,LITTLE CHICAGO,0,-17.9,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-02-14 00:00:00,LITTLE CHICAGO,0,-17.4,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-02-15 00:00:00,LITTLE CHICAGO,0,-23.1,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-02-16 00:00:00,LITTLE CHICAGO,0,-14.4,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-02-17 00:00:00,LITTLE CHICAGO,0,,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-02-18 00:00:00,LITTLE CHICAGO,0,-35.8,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-02-19 00:00:00,LITTLE CHICAGO,0,,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-02-20 00:00:00,LITTLE CHICAGO,0,-36.7,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-02-21 00:00:00,LITTLE CHICAGO,0,-29.3,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-02-22 00:00:00,LITTLE CHICAGO,0,-34.1,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-02-23 00:00:00,LITTLE CHICAGO,0,-34.2,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-02-24 00:00:00,LITTLE CHICAGO,0,-32.3,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-02-25 00:00:00,LITTLE CHICAGO,0,-27.4,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-02-26 00:00:00,LITTLE CHICAGO,0,-33.2,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-02-27 00:00:00,LITTLE CHICAGO,0,-32.1,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-02-28 00:00:00,LITTLE CHICAGO,0,-18.3,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-03-01 00:00:00,LITTLE CHICAGO,0,,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-03-02 00:00:00,LITTLE CHICAGO,0,-25.9,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-03-03 00:00:00,LITTLE CHICAGO,0,-31.4,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-03-04 00:00:00,LITTLE CHICAGO,0,-24.9,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-03-05 00:00:00,LITTLE CHICAGO,0,-22.8,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-03-06 00:00:00,LITTLE CHICAGO,0,-26.2,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-03-07 00:00:00,LITTLE CHICAGO,0,-16.9,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-03-08 00:00:00,LITTLE CHICAGO,0,-14,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-03-09 00:00:00,LITTLE CHICAGO,0,,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-03-10 00:00:00,LITTLE CHICAGO,0,-30.4,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-03-11 00:00:00,LITTLE CHICAGO,0,-35.9,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-03-12 00:00:00,LITTLE CHICAGO,0,-38.1,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-03-13 00:00:00,LITTLE CHICAGO,0,-39.5,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-03-14 00:00:00,LITTLE CHICAGO,0,-36,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-03-15 00:00:00,LITTLE CHICAGO,0,-33.7,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-03-16 00:00:00,LITTLE CHICAGO,0,-30.9,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-03-17 00:00:00,LITTLE CHICAGO,0,-21.9,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-03-18 00:00:00,LITTLE CHICAGO,0,-21.1,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-03-19 00:00:00,LITTLE CHICAGO,0,-21,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-03-20 00:00:00,LITTLE CHICAGO,0,-15.1,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-03-21 00:00:00,LITTLE CHICAGO,0,,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-03-22 00:00:00,LITTLE CHICAGO,0,-28.4,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-03-23 00:00:00,LITTLE CHICAGO,0,-26.2,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-03-24 00:00:00,LITTLE CHICAGO,0,,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-03-25 00:00:00,LITTLE CHICAGO,0,-25.9,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-03-26 00:00:00,LITTLE CHICAGO,0,-25,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-03-27 00:00:00,LITTLE CHICAGO,0,-20.6,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-03-28 00:00:00,LITTLE CHICAGO,0,-18.4,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-03-29 00:00:00,LITTLE CHICAGO,0,-11.9,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-03-30 00:00:00,LITTLE CHICAGO,0,-6.8,220B6Q3,NT
-130.22805555555556,67.17916666666666,78,1995-03-31 00:00:00,LITTLE CHICAGO,0,-7.1,220B6Q3,NT
-130.22805555555556,67.17916666666666,67,1995-04-01 00:00:00,LITTLE CHICAGO,0,-12.1,220B6Q3,NT
-130.22805555555556,67.17916666666666,63,1995-04-02 00:00:00,LITTLE CHICAGO,32,-18,220B6Q3,NT
-130.22805555555556,67.17916666666666,47,1995-04-03 00:00:00,LITTLE CHICAGO,0,-16.3,220B6Q3,NT
-130.22805555555556,67.17916666666666,51,1995-04-04 00:00:00,LITTLE CHICAGO,0,-14.2,220B6Q3,NT
-130.22805555555556,67.17916666666666,59,1995-04-05 00:00:00,LITTLE CHICAGO,0,-17.1,220B6Q3,NT
-130.22805555555556,67.17916666666666,69,1995-04-06 00:00:00,LITTLE CHICAGO,0,-17,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-04-07 00:00:00,LITTLE CHICAGO,0,,220B6Q3,NT
-130.22805555555556,67.17916666666666,72,1995-04-08 00:00:00,LITTLE CHICAGO,0,-11.4,220B6Q3,NT
-130.22805555555556,67.17916666666666,77,1995-04-09 00:00:00,LITTLE CHICAGO,0,-10.6,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-04-10 00:00:00,LITTLE CHICAGO,0,,220B6Q3,NT
-130.22805555555556,67.17916666666666,81,1995-04-11 00:00:00,LITTLE CHICAGO,0,-3.4,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-04-12 00:00:00,LITTLE CHICAGO,0,-3.4,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-04-13 00:00:00,LITTLE CHICAGO,0,-3.1,220B6Q3,NT
-130.22805555555556,67.17916666666666,90,1995-04-14 00:00:00,LITTLE CHICAGO,0,-3.1,220B6Q3,NT
-130.22805555555556,67.17916666666666,94,1995-04-15 00:00:00,LITTLE CHICAGO,0,-3,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-04-16 00:00:00,LITTLE CHICAGO,0,-2.2,220B6Q3,NT
-130.22805555555556,67.17916666666666,98,1995-04-17 00:00:00,LITTLE CHICAGO,0,-3.2,220B6Q3,NT
-130.22805555555556,67.17916666666666,85,1995-04-18 00:00:00,LITTLE CHICAGO,0,0.7,220B6Q3,NT
-130.22805555555556,67.17916666666666,81,1995-04-19 00:00:00,LITTLE CHICAGO,0,-1.5,220B6Q3,NT
-130.22805555555556,67.17916666666666,92,1995-04-20 00:00:00,LITTLE CHICAGO,0,-2.7,220B6Q3,NT
-130.22805555555556,67.17916666666666,90,1995-04-21 00:00:00,LITTLE CHICAGO,0,1.8,220B6Q3,NT
-130.22805555555556,67.17916666666666,98,1995-04-22 00:00:00,LITTLE CHICAGO,0,2.8,220B6Q3,NT
-130.22805555555556,67.17916666666666,91,1995-04-23 00:00:00,LITTLE CHICAGO,0,5.5,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-04-24 00:00:00,LITTLE CHICAGO,0,6.2,220B6Q3,NT
-130.22805555555556,67.17916666666666,89,1995-04-25 00:00:00,LITTLE CHICAGO,0,6.4,220B6Q3,NT
-130.22805555555556,67.17916666666666,80,1995-04-26 00:00:00,LITTLE CHICAGO,37,7.9,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-04-27 00:00:00,LITTLE CHICAGO,0,9.1,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-04-28 00:00:00,LITTLE CHICAGO,0,5.6,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-04-29 00:00:00,LITTLE CHICAGO,0,4.9,220B6Q3,NT
-130.22805555555556,67.17916666666666,89,1995-04-30 00:00:00,LITTLE CHICAGO,0,5,220B6Q3,NT
-130.22805555555556,67.17916666666666,94,1995-05-01 00:00:00,LITTLE CHICAGO,0,4.8,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-05-02 00:00:00,LITTLE CHICAGO,0,5.3,220B6Q3,NT
-130.22805555555556,67.17916666666666,76,1995-05-03 00:00:00,LITTLE CHICAGO,0,7.8,220B6Q3,NT
-130.22805555555556,67.17916666666666,90,1995-05-04 00:00:00,LITTLE CHICAGO,0,9.8,220B6Q3,NT
-130.22805555555556,67.17916666666666,79,1995-05-05 00:00:00,LITTLE CHICAGO,0,8.6,220B6Q3,NT
-130.22805555555556,67.17916666666666,93,1995-05-06 00:00:00,LITTLE CHICAGO,0,8.4,220B6Q3,NT
-130.22805555555556,67.17916666666666,65,1995-05-07 00:00:00,LITTLE CHICAGO,0,10.7,220B6Q3,NT
-130.22805555555556,67.17916666666666,65,1995-05-11 00:00:00,LITTLE CHICAGO,0,13.2,220B6Q3,NT
-130.22805555555556,67.17916666666666,78,1995-05-08 00:00:00,LITTLE CHICAGO,0,10.2,220B6Q3,NT
-130.22805555555556,67.17916666666666,79,1995-05-09 00:00:00,LITTLE CHICAGO,0,14,220B6Q3,NT
-130.22805555555556,67.17916666666666,66,1995-05-10 00:00:00,LITTLE CHICAGO,35,15.1,220B6Q3,NT
-130.22805555555556,67.17916666666666,89,1995-05-12 00:00:00,LITTLE CHICAGO,0,8.8,220B6Q3,NT
-130.22805555555556,67.17916666666666,89,1995-05-13 00:00:00,LITTLE CHICAGO,0,8.7,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-05-14 00:00:00,LITTLE CHICAGO,0,9.8,220B6Q3,NT
-130.22805555555556,67.17916666666666,94,1995-05-15 00:00:00,LITTLE CHICAGO,32,0.6,220B6Q3,NT
-130.22805555555556,67.17916666666666,77,1995-05-16 00:00:00,LITTLE CHICAGO,0,0.2,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-05-17 00:00:00,LITTLE CHICAGO,0,3.2,220B6Q3,NT
-130.22805555555556,67.17916666666666,81,1995-05-18 00:00:00,LITTLE CHICAGO,0,1.8,220B6Q3,NT
-130.22805555555556,67.17916666666666,97,1995-05-19 00:00:00,LITTLE CHICAGO,0,1.5,220B6Q3,NT
-130.22805555555556,67.17916666666666,99,1995-05-20 00:00:00,LITTLE CHICAGO,39,0.7,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-05-21 00:00:00,LITTLE CHICAGO,0,-2.9,220B6Q3,NT
-130.22805555555556,67.17916666666666,80,1995-05-22 00:00:00,LITTLE CHICAGO,32,-2.8,220B6Q3,NT
-130.22805555555556,67.17916666666666,82,1995-05-23 00:00:00,LITTLE CHICAGO,32,0.7,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-05-24 00:00:00,LITTLE CHICAGO,0,6.8,220B6Q3,NT
-130.22805555555556,67.17916666666666,57,1995-05-25 00:00:00,LITTLE CHICAGO,0,13.8,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-05-26 00:00:00,LITTLE CHICAGO,,,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-05-30 00:00:00,LITTLE CHICAGO,0,10.7,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-05-31 00:00:00,LITTLE CHICAGO,0,12.3,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-06-01 00:00:00,LITTLE CHICAGO,0,12.1,220B6Q3,NT
-130.22805555555556,67.17916666666666,96,1995-06-02 00:00:00,LITTLE CHICAGO,0,12.9,220B6Q3,NT
-130.22805555555556,67.17916666666666,98,1995-06-03 00:00:00,LITTLE CHICAGO,35,7.8,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-06-04 00:00:00,LITTLE CHICAGO,0,,220B6Q3,NT
-130.22805555555556,67.17916666666666,62,1995-06-05 00:00:00,LITTLE CHICAGO,0,19.5,220B6Q3,NT
-130.22805555555556,67.17916666666666,63,1995-06-06 00:00:00,LITTLE CHICAGO,44,22,220B6Q3,NT
-130.22805555555556,67.17916666666666,65,1995-06-07 00:00:00,LITTLE CHICAGO,0,18.9,220B6Q3,NT
-130.22805555555556,67.17916666666666,46,1995-06-08 00:00:00,LITTLE CHICAGO,0,21.6,220B6Q3,NT
-130.22805555555556,67.17916666666666,60,1995-06-09 00:00:00,LITTLE CHICAGO,0,24.1,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-06-10 00:00:00,LITTLE CHICAGO,0,,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-06-11 00:00:00,LITTLE CHICAGO,0,18.9,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-06-12 00:00:00,LITTLE CHICAGO,0,17.9,220B6Q3,NT
-130.22805555555556,67.17916666666666,85,1995-06-13 00:00:00,LITTLE CHICAGO,0,13.7,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-06-14 00:00:00,LITTLE CHICAGO,0,16.4,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-06-15 00:00:00,LITTLE CHICAGO,0,20,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-06-16 00:00:00,LITTLE CHICAGO,0,22,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-06-17 00:00:00,LITTLE CHICAGO,,,220B6Q3,NT
-130.22805555555556,67.17916666666666,,1995-06-20 00:00:00,LITTLE CHICAGO,0,,220B6Q3,NT
